Allemagne,Augsburg Uni,D-Au Cod. II.2.8º 13,x,,16,,non  ,132v-133v,,CB011*,1,"Maintenant à Augsburg, voir ici https://handschriftencensus.de/16473",,,,,,,,
Allemagne,Berlin Staatsbibl.,D-B ms. germ. fol. 779,x,,14-15,,https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN721568572,158r,,CB168a (Nu grvͦnet auer div heide),1,,,,,,,,,
Allemagne,Berlin Staatsbibl.,D-B ms. germ. fol. 1062,x,,12-13,,https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN721570089,50v,,CB168a (Nu grvͦnet auer div heide),1,,,,,,,,,
Allemagne,Darmstadt,D-DS 2777 (Da),x,,13,,http://tudigit.ulb.tu-darmstadt.de/show/Hs-2777,"3r, 3v, 4r",x,"CB021, CB026, CB027, CB189",1,,,,,,,,,
Allemagne,Donaueschingen Fürstlich Fürstenbergische Hofbibliothek,D-DO 882 [manuscrit perdu],,x,,,non,175v–177v,,CB011*,1,"Fürstlich Fürstenbergische Hofbibliothek, Donaueschingen http://fuerstenberg-kultur.de/archiv-und-bibliothek/bibliothek/ j.martin@fuerstenberg-gv.de j.poetzsch@fuerstenberg-gv.de",,,,,,,,
Allemagne,Donaueschingen Fürstlich Fürstenbergische Hofbibliothek,D-DO A.III.22,,x,15,neumes diastématiques,https://digital.blb-karlsruhe.de/blbhs/content/pageview/1190778,2v-3r,x,CB004*,1,"Fürstlich Fürstenbergische Hofbibliothek, Donaueschingen http://fuerstenberg-kultur.de/archiv-und-bibliothek/bibliothek/ j.martin@fuerstenberg-gv.de j.poetzsch@fuerstenberg-gv.de",,,,,,,,
Allemagne,Erfurt,D-EF Amplon. Oct. 32,,x,13,neumes diastématiques,https://dhb.thulb.uni-jena.de/rsc/viewer/ufb_derivate_00022997/CA-8-00032_0189.tif?logicalDiv=log_ufb_cbu_00022868,89r-v,x,CB071,1,Catalogue : http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0495_b0698_jpg.htm,,,,,,,,
Allemagne,Frankfurt am Main,D-F Fragm.lat.VI.41,,x,13,carrée polyphonique ND,https://sammlungen.ub.uni-frankfurt.de/msma/urn/urn:nbn:de:hebis:30:2-274391,Ar–v ,x,CB131,1,,,,,,,,,
Allemagne,Fulda,D-FUl C 11,x,,14-15,,https://fuldig.hs-fulda.de/viewer/image/PPN446275026/663/,"331r, 331v",,"CB019, CB119",1,Fulda,,,,,,,,
Allemagne,Heidelberg,D-Heu MS Cod. Pal. Germ. 357,x,,13,,https://doi.org/10.11588/diglit.164,"23r-v, 38r ",,"CB048a (Hoͤrstu friunt), CB#47a (So wol dir, meie, wie du scheidest), CB166a (Solde auer ich mit sorgen iemmer leben), 25v",3,,,,,,,,,
